"stage","stage09","stage15","ch_high","nburn","strata","stat","cc_year","metric","value"
"unburned forest","suppressed","suppressed",NA,0,"Understory","sdl",2015,"cc_01_sdl",1.58051583979679
"unburned forest","suppressed","suppressed",NA,0,"Sub-canopy","mnl",2015,"cc_02_mnl",-1.71087264333706
"unburned forest","suppressed","suppressed",NA,0,"Sub-canopy","sdl",2015,"cc_02_sdl",1.01977032901508
"unburned forest","suppressed","suppressed",NA,0,"Canopy","mnl",2015,"cc_08_mnl",-0.25005145424255
"unburned forest","suppressed","suppressed",NA,0,"Canopy","sdl",2015,"cc_08_sdl",0.261202965332449
"once burned forest","late","early",0,1,"Understory","mnl",2009,"cc_01_mnl",-3.27459414857619
"once burned forest","late","early",0,1,"Understory","sdl",2009,"cc_01_sdl",1.66148427009286
"once burned forest","late","early",0,1,"Sub-canopy","mnl",2009,"cc_02_mnl",-2.6807794037572
"once burned forest","late","early",0,1,"Sub-canopy","sdl",2009,"cc_02_sdl",1.0906399507138
"once burned forest","late","early",0,1,"Canopy","mnl",2009,"cc_08_mnl",-2.80343801575416
"once burned forest","late","early",0,1,"Canopy","sdl",2009,"cc_08_sdl",2.03350071485472
"late-early","late","early",0,2,"Understory","mnl",2015,"cc_01_mnl",-4.1917849182248
"late-early","late","early",0,2,"Understory","sdl",2015,"cc_01_sdl",1.72313504325172
"late-early","late","early",0,2,"Sub-canopy","mnl",2015,"cc_02_mnl",-4.14845475410943
"late-early","late","early",0,2,"Sub-canopy","sdl",2015,"cc_02_sdl",1.72238159099829
"late-early","late","early",0,2,"Canopy","mnl",2015,"cc_08_mnl",-4.69969292475037
"late-early","late","early",0,2,"Canopy","sdl",2015,"cc_08_sdl",2.30456853804034
"once burned forest","late","late",0,1,"Understory","mnl",2009,"cc_01_mnl",-3.25366958092647
"once burned forest","late","late",0,1,"Understory","sdl",2009,"cc_01_sdl",1.33366447776758
"once burned forest","late","late",0,1,"Sub-canopy","mnl",2009,"cc_02_mnl",-3.04841826788434
"once burned forest","late","late",0,1,"Sub-canopy","sdl",2009,"cc_02_sdl",1.55007508997932
"once burned forest","late","late",0,1,"Canopy","mnl",2009,"cc_08_mnl",-2.11768530101122
"once burned forest","late","late",0,1,"Canopy","sdl",2009,"cc_08_sdl",2.0943197813792
"twice burned forest","late","late",0,2,"Understory","mnl",2015,"cc_01_mnl",-3.8731905135569
"twice burned forest","late","late",0,2,"Understory","sdl",2015,"cc_01_sdl",1.31939760597191
"twice burned forest","late","late",0,2,"Sub-canopy","mnl",2015,"cc_02_mnl",-4.21382275191057
"twice burned forest","late","late",0,2,"Sub-canopy","sdl",2015,"cc_02_sdl",1.75220674161003
"twice burned forest","late","late",0,2,"Canopy","mnl",2015,"cc_08_mnl",-2.78551475635225
"twice burned forest","late","late",0,2,"Canopy","sdl",2015,"cc_08_sdl",2.30201305105008
