"id","st_stage","ch_stage","FID","year","burn","nburn","metric","value","strata","stat"
"1012_1","early","early-mid",NA,NA,NA,NA,"lad_01_mn",NA,"Understory","mn"
"1012_1","early","early-mid",NA,NA,NA,NA,"lad_01_sd",NA,"Understory","sd"
"1012_1","early","early-mid",NA,NA,NA,NA,"lad_02_mn",NA,"Sub-canopy","mn"
"1012_1","early","early-mid",NA,NA,NA,NA,"lad_02_sd",NA,"Sub-canopy","sd"
"1012_1","early","early-mid",NA,NA,NA,NA,"lad_08_mn",NA,"Canopy","mn"
"1012_1","early","early-mid",NA,NA,NA,NA,"lad_08_sd",NA,"Canopy","sd"
"1013_1","early","early-mid",1013,2009,1,1,"lad_01_mn",-1.51031213100038,"Understory","mn"
"1013_1","early","early-mid",1013,2009,1,1,"lad_01_sd",0.839973946844049,"Understory","sd"
"1013_1","early","early-mid",1013,2009,1,1,"lad_02_mn",-2.87024702046354,"Sub-canopy","mn"
"1013_1","early","early-mid",1013,2009,1,1,"lad_02_sd",0.914660061749523,"Sub-canopy","sd"
"1013_1","early","early-mid",1013,2009,1,1,"lad_08_mn",-5.20359446756004,"Canopy","mn"
"1013_1","early","early-mid",1013,2009,1,1,"lad_08_sd",1.1051063606996,"Canopy","sd"
"1014_1","late","late",NA,NA,NA,NA,"lad_01_mn",NA,"Understory","mn"
"1014_1","late","late",NA,NA,NA,NA,"lad_01_sd",NA,"Understory","sd"
"1014_1","late","late",NA,NA,NA,NA,"lad_02_mn",NA,"Sub-canopy","mn"
"1014_1","late","late",NA,NA,NA,NA,"lad_02_sd",NA,"Sub-canopy","sd"
"1014_1","late","late",NA,NA,NA,NA,"lad_08_mn",NA,"Canopy","mn"
"1014_1","late","late",NA,NA,NA,NA,"lad_08_sd",NA,"Canopy","sd"
"1015_1","late","late",1015,2009,1,1,"lad_01_mn",-1.60547590366775,"Understory","mn"
"1015_1","late","late",1015,2009,1,1,"lad_01_sd",1.18975896450434,"Understory","sd"
"1015_1","late","late",1015,2009,1,1,"lad_02_mn",-2.39966344628136,"Sub-canopy","mn"
"1015_1","late","late",1015,2009,1,1,"lad_02_sd",1.10423550674554,"Sub-canopy","sd"
"1015_1","late","late",1015,2009,1,1,"lad_08_mn",-4.85975594842807,"Canopy","mn"
"1015_1","late","late",1015,2009,1,1,"lad_08_sd",1.38155963376675,"Canopy","sd"
"1016_1","early","early-mid",1016,2015,1,2,"lad_01_mn",-5.54990083926727,"Understory","mn"
"1016_1","early","early-mid",1016,2015,1,2,"lad_01_sd",1.2021815035036,"Understory","sd"
"1016_1","early","early-mid",1016,2015,1,2,"lad_02_mn",-6.53785388711551,"Sub-canopy","mn"
"1016_1","early","early-mid",1016,2015,1,2,"lad_02_sd",0.568416909243808,"Sub-canopy","sd"
"1016_1","early","early-mid",1016,2015,1,2,"lad_08_mn",-6.87658039001757,"Canopy","mn"
"1016_1","early","early-mid",1016,2015,1,2,"lad_08_sd",0.180260069620606,"Canopy","sd"
"1016_1","early","early-mid",1016,2009,1,1,"lad_01_mn",-4.51942460162606,"Understory","mn"
"1016_1","early","early-mid",1016,2009,1,1,"lad_01_sd",1.36453253530599,"Understory","sd"
"1016_1","early","early-mid",1016,2009,1,1,"lad_02_mn",-4.88964995270513,"Sub-canopy","mn"
"1016_1","early","early-mid",1016,2009,1,1,"lad_02_sd",1.0030931904541,"Sub-canopy","sd"
"1016_1","early","early-mid",1016,2009,1,1,"lad_08_mn",-6.2698211206164,"Canopy","mn"
"1016_1","early","early-mid",1016,2009,1,1,"lad_08_sd",0.629068270869265,"Canopy","sd"
"1017_1","early","early",1017,2009,1,1,"lad_01_mn",-3.13314284258718,"Understory","mn"
"1017_1","early","early",1017,2009,1,1,"lad_01_sd",1.62076843726184,"Understory","sd"
"1017_1","early","early",1017,2009,1,1,"lad_02_mn",-5.35353079011656,"Sub-canopy","mn"
"1017_1","early","early",1017,2009,1,1,"lad_02_sd",1.08874106933606,"Sub-canopy","sd"
"1017_1","early","early",1017,2009,1,1,"lad_08_mn",-6.51128392817465,"Canopy","mn"
"1017_1","early","early",1017,2009,1,1,"lad_08_sd",0.510246598679965,"Canopy","sd"
"1017_1","early","early",1017,2015,1,2,"lad_01_mn",-4.3171838193051,"Understory","mn"
"1017_1","early","early",1017,2015,1,2,"lad_01_sd",1.83472485352175,"Understory","sd"
"1017_1","early","early",1017,2015,1,2,"lad_02_mn",-6.34480064656368,"Sub-canopy","mn"
"1017_1","early","early",1017,2015,1,2,"lad_02_sd",0.963152797244401,"Sub-canopy","sd"
"1017_1","early","early",1017,2015,1,2,"lad_08_mn",-6.90623727161696,"Canopy","mn"
"1017_1","early","early",1017,2015,1,2,"lad_08_sd",0.0153815312168146,"Canopy","sd"
"1018_1","early","early",1018,2015,1,2,"lad_01_mn",-5.61031523922692,"Understory","mn"
"1018_1","early","early",1018,2015,1,2,"lad_01_sd",1.34398308765891,"Understory","sd"
"1018_1","early","early",1018,2015,1,2,"lad_02_mn",-6.65772861056481,"Sub-canopy","mn"
"1018_1","early","early",1018,2015,1,2,"lad_02_sd",0.512242708330889,"Sub-canopy","sd"
"1018_1","early","early",1018,2015,1,2,"lad_08_mn",-6.8783655615045,"Canopy","mn"
"1018_1","early","early",1018,2015,1,2,"lad_08_sd",0.189798430381449,"Canopy","sd"
"1018_1","early","early",1018,2009,1,1,"lad_01_mn",-4.79485879469236,"Understory","mn"
"1018_1","early","early",1018,2009,1,1,"lad_01_sd",1.43321376417599,"Understory","sd"
"1018_1","early","early",1018,2009,1,1,"lad_02_mn",-5.43190520251104,"Sub-canopy","mn"
"1018_1","early","early",1018,2009,1,1,"lad_02_sd",0.971739234887759,"Sub-canopy","sd"
"1018_1","early","early",1018,2009,1,1,"lad_08_mn",-6.59189805832419,"Canopy","mn"
"1018_1","early","early",1018,2009,1,1,"lad_08_sd",0.5079412286982,"Canopy","sd"
"1019_1","early","early",1019,2009,1,1,"lad_01_mn",-4.82228835243743,"Understory","mn"
"1019_1","early","early",1019,2009,1,1,"lad_01_sd",1.41091112705603,"Understory","sd"
"1019_1","early","early",1019,2009,1,1,"lad_02_mn",-4.84770968938364,"Sub-canopy","mn"
"1019_1","early","early",1019,2009,1,1,"lad_02_sd",1.05745909989523,"Sub-canopy","sd"
"1019_1","early","early",1019,2009,1,1,"lad_08_mn",-5.67927578585899,"Canopy","mn"
"1019_1","early","early",1019,2009,1,1,"lad_08_sd",1.10780847938455,"Canopy","sd"
"1019_1","early","early",1019,2015,1,2,"lad_01_mn",-6.01947041055926,"Understory","mn"
"1019_1","early","early",1019,2015,1,2,"lad_01_sd",1.01616012027358,"Understory","sd"
"1019_1","early","early",1019,2015,1,2,"lad_02_mn",-6.28245161988292,"Sub-canopy","mn"
"1019_1","early","early",1019,2015,1,2,"lad_02_sd",0.74856128002174,"Sub-canopy","sd"
"1019_1","early","early",1019,2015,1,2,"lad_08_mn",-6.48006646709423,"Canopy","mn"
"1019_1","early","early",1019,2015,1,2,"lad_08_sd",0.700733211762262,"Canopy","sd"
"102_1","early","early-mid",102,2009,1,1,"lad_01_mn",-2.19519592523238,"Understory","mn"
"102_1","early","early-mid",102,2009,1,1,"lad_01_sd",0.985054486011264,"Understory","sd"
"102_1","early","early-mid",102,2009,1,1,"lad_02_mn",-5.31357612693486,"Sub-canopy","mn"
"102_1","early","early-mid",102,2009,1,1,"lad_02_sd",1.44349197255978,"Sub-canopy","sd"
"102_1","early","early-mid",102,2009,1,1,"lad_08_mn",-6.4189457205792,"Canopy","mn"
"102_1","early","early-mid",102,2009,1,1,"lad_08_sd",0.780502420824715,"Canopy","sd"
"1020_1","late","late",1020,2009,1,1,"lad_01_mn",-2.60698468697038,"Understory","mn"
"1020_1","late","late",1020,2009,1,1,"lad_01_sd",1.57153714864785,"Understory","sd"
"1020_1","late","late",1020,2009,1,1,"lad_02_mn",-3.61333219055334,"Sub-canopy","mn"
"1020_1","late","late",1020,2009,1,1,"lad_02_sd",1.2832320682171,"Sub-canopy","sd"
"1020_1","late","late",1020,2009,1,1,"lad_08_mn",-4.9381636464066,"Canopy","mn"
"1020_1","late","late",1020,2009,1,1,"lad_08_sd",1.16552138786468,"Canopy","sd"
"1020_1","late","late",1020,2015,1,2,"lad_01_mn",-3.05779861173078,"Understory","mn"
"1020_1","late","late",1020,2015,1,2,"lad_01_sd",1.57386724175096,"Understory","sd"
"1020_1","late","late",1020,2015,1,2,"lad_02_mn",-4.15290164684363,"Sub-canopy","mn"
"1020_1","late","late",1020,2015,1,2,"lad_02_sd",1.43507567837907,"Sub-canopy","sd"
"1020_1","late","late",1020,2015,1,2,"lad_08_mn",-5.22512399998629,"Canopy","mn"
"1020_1","late","late",1020,2015,1,2,"lad_08_sd",1.11561114161912,"Canopy","sd"
"1021_1","early","early-mid",NA,NA,NA,NA,"lad_01_mn",NA,"Understory","mn"
"1021_1","early","early-mid",NA,NA,NA,NA,"lad_01_sd",NA,"Understory","sd"
"1021_1","early","early-mid",NA,NA,NA,NA,"lad_02_mn",NA,"Sub-canopy","mn"
"1021_1","early","early-mid",NA,NA,NA,NA,"lad_02_sd",NA,"Sub-canopy","sd"
"1021_1","early","early-mid",NA,NA,NA,NA,"lad_08_mn",NA,"Canopy","mn"
"1021_1","early","early-mid",NA,NA,NA,NA,"lad_08_sd",NA,"Canopy","sd"
"1022_1","late","late",1022,2009,1,1,"lad_01_mn",-3.6716605036502,"Understory","mn"
"1022_1","late","late",1022,2009,1,1,"lad_01_sd",1.93964899073956,"Understory","sd"
"1022_1","late","late",1022,2009,1,1,"lad_02_mn",-4.15827051913809,"Sub-canopy","mn"
"1022_1","late","late",1022,2009,1,1,"lad_02_sd",1.24998681805331,"Sub-canopy","sd"
"1022_1","late","late",1022,2009,1,1,"lad_08_mn",-4.68460860779255,"Canopy","mn"
"1022_1","late","late",1022,2009,1,1,"lad_08_sd",1.10309899448167,"Canopy","sd"
"1022_1","late","late",1022,2015,1,2,"lad_01_mn",-3.62950533032306,"Understory","mn"
"1022_1","late","late",1022,2015,1,2,"lad_01_sd",1.49406245172456,"Understory","sd"
"1022_1","late","late",1022,2015,1,2,"lad_02_mn",-4.94003480932137,"Sub-canopy","mn"
"1022_1","late","late",1022,2015,1,2,"lad_02_sd",1.22253150151915,"Sub-canopy","sd"
"1022_1","late","late",1022,2015,1,2,"lad_08_mn",-5.46817841042275,"Canopy","mn"
"1022_1","late","late",1022,2015,1,2,"lad_08_sd",1.17906850985851,"Canopy","sd"
"1023_1","early","early",1023,2015,1,2,"lad_01_mn",-3.31298167264177,"Understory","mn"
"1023_1","early","early",1023,2015,1,2,"lad_01_sd",1.51176336620818,"Understory","sd"
"1023_1","early","early",1023,2015,1,2,"lad_02_mn",-6.22451862009145,"Sub-canopy","mn"
"1023_1","early","early",1023,2015,1,2,"lad_02_sd",0.756909312267501,"Sub-canopy","sd"
"1023_1","early","early",1023,2015,1,2,"lad_08_mn",-6.70697416631941,"Canopy","mn"
"1023_1","early","early",1023,2015,1,2,"lad_08_sd",0.553465063488138,"Canopy","sd"
"1023_1","early","early",1023,2009,1,1,"lad_01_mn",-2.87230871319964,"Understory","mn"
"1023_1","early","early",1023,2009,1,1,"lad_01_sd",1.3271636531959,"Understory","sd"
"1023_1","early","early",1023,2009,1,1,"lad_02_mn",-4.65055006439107,"Sub-canopy","mn"
"1023_1","early","early",1023,2009,1,1,"lad_02_sd",0.710840445277366,"Sub-canopy","sd"
"1023_1","early","early",1023,2009,1,1,"lad_08_mn",-6.12143794073406,"Canopy","mn"
"1023_1","early","early",1023,2009,1,1,"lad_08_sd",0.833552291679036,"Canopy","sd"
"1024_1","early","early",1024,2015,1,2,"lad_01_mn",-4.72997274389956,"Understory","mn"
"1024_1","early","early",1024,2015,1,2,"lad_01_sd",1.58206093212007,"Understory","sd"
"1024_1","early","early",1024,2015,1,2,"lad_02_mn",-6.5120314441814,"Sub-canopy","mn"
"1024_1","early","early",1024,2015,1,2,"lad_02_sd",0.502231989127147,"Sub-canopy","sd"
"1024_1","early","early",1024,2015,1,2,"lad_08_mn",-6.85699322673465,"Canopy","mn"
"1024_1","early","early",1024,2015,1,2,"lad_08_sd",0.221579639123837,"Canopy","sd"
"1024_1","early","early",1024,2009,1,1,"lad_01_mn",-3.22777554115002,"Understory","mn"
"1024_1","early","early",1024,2009,1,1,"lad_01_sd",1.15095800900391,"Understory","sd"
"1024_1","early","early",1024,2009,1,1,"lad_02_mn",-4.88735997975605,"Sub-canopy","mn"
"1024_1","early","early",1024,2009,1,1,"lad_02_sd",0.641324166265523,"Sub-canopy","sd"
"1024_1","early","early",1024,2009,1,1,"lad_08_mn",-6.30999852921568,"Canopy","mn"
"1024_1","early","early",1024,2009,1,1,"lad_08_sd",0.589218712847317,"Canopy","sd"
"1025_1","early","early",1025,2015,1,2,"lad_01_mn",-2.48914323514468,"Understory","mn"
"1025_1","early","early",1025,2015,1,2,"lad_01_sd",1.35596782022736,"Understory","sd"
"1025_1","early","early",1025,2015,1,2,"lad_02_mn",-6.2118386337431,"Sub-canopy","mn"
"1025_1","early","early",1025,2015,1,2,"lad_02_sd",0.59411166175477,"Sub-canopy","sd"
"1025_1","early","early",1025,2015,1,2,"lad_08_mn",-6.85142914378872,"Canopy","mn"
"1025_1","early","early",1025,2015,1,2,"lad_08_sd",0.201213864048745,"Canopy","sd"
"1025_1","early","early",1025,2009,1,1,"lad_01_mn",-1.86150277827662,"Understory","mn"
"1025_1","early","early",1025,2009,1,1,"lad_01_sd",1.32423162226669,"Understory","sd"
"1025_1","early","early",1025,2009,1,1,"lad_02_mn",-4.82755706463746,"Sub-canopy","mn"
"1025_1","early","early",1025,2009,1,1,"lad_02_sd",0.611528272445048,"Sub-canopy","sd"
"1025_1","early","early",1025,2009,1,1,"lad_08_mn",-6.2480829215954,"Canopy","mn"
"1025_1","early","early",1025,2009,1,1,"lad_08_sd",0.508791764755476,"Canopy","sd"
"1026_1","early","early",1026,2009,1,1,"lad_01_mn",-2.66905449746681,"Understory","mn"
"1026_1","early","early",1026,2009,1,1,"lad_01_sd",1.33919446465193,"Understory","sd"
